id|code|vendor_type|city_alias_code|country_alias_code
136|ARG000066000|citsae|OYO|AR
137|ARG000026000|citsae|PEH|AR
138|ARG000055000|citsae|PMQ|AR
139|ARG000005000|citsae|PMY|AR
140|ARG000PRA000|citsae|PRA|AR
141|ARG000057000|citsae|PRQ|AR
142|ARG000PSS000|citsae|PSS|AR
143|ARG000027000|citsae|PUD|AR
144|ARG000028000|citsae|RCQ|AR
145|ARG000RCU000|citsae|RCU|AR
146|ARG000049000|citsae|RDS|AR
147|ARG000REL000|citsae|REL|AR
148|ARG000006000|citsae|RES|AR
149|ARG000007000|citsae|RGA|AR
150|ARG000RGL000|citsae|RGL|AR
151|ARG000048000|citsae|RHD|AR
152|ARG000ROS000|citsae|ROS|AR
153|ARG000046000|citsae|ROY|AR
154|ARG000RSA000|citsae|RSA|AR
155|ARG000047000|citsae|RYO|AR
156|BOL000SRZ000|citsae|RZA|AR
157|CHL0000RM000|citsae|SDE|AR
158|ARG000SFN000|citsae|SFN|AR
159|ARG000069000|citsae|SGV|AR
160|ARG000SLA000|citsae|SLA|AR
161|ARG000064000|citsae|SST|AR
162|ARG000018000|citsae|TDL|AR
163|ARG000029000|citsae|TTG|AR
164|ARG000009000|citsae|TUC|AR
165|ARG000UAQ000|citsae|UAQ|AR
166|ARG000062000|citsae|ULA|AR
167|ARG000USH000|citsae|USH|AR
168|ARG000043000|citsae|UZU|AR
169|ARG000035000|citsae|VCF|AR
170|ARG000VDM000|citsae|VDM|AR
171|ARG000030000|citsae|VDR|AR
172|ARG000067000|citsae|VGS|AR
173|ARG000019000|citsae|VLG|AR
174|ARG000010000|citsae|VME|AR
175|ASM000003000|citsae|FTI|AS
176|ASM000001000|citsae|PPG|AS
177|ASM000002000|citsae|TAV|AS
178|AUT000005000|citsae|ANT|AT
179|AUT000001000|citsae|GRZ|AT
180|AUT000004000|citsae|HOH|AT
181|AUT000003000|citsae|INN|AT
182|AUT000002000|citsae|LNZ|AT
183|AUT000SZG000|citsae|SZG|AT
184|AUT000VDD000|citsae|VIE|AT
185|AUT000006000|citsae|ZRS|AT
186|AUS000130000|citsae|AAB|AU
187|DEU000AGB000|citsae|ABG|AU
188|AUS000131000|citsae|ABH|AU
189|AUS000132000|citsae|ABM|AU
190|AUS000007000|citsae|ABX|AU
191|AUS0SAADL000|citsae|ADL|AU
192|AUS000133000|citsae|ADO|AU
193|AUS000134000|citsae|AGW|AU
194|AUS000135000|citsae|AGY|AU
195|AUS0WAALH000|citsae|ALH|AU
196|AUS000013000|citsae|AMT|AU
197|AUS000014000|citsae|AMX|AU
198|AUS000015000|citsae|ANZ|AU
199|AUS000012000|citsae|ARM|AU
200|AUS000016000|citsae|ARY|AU
201|AUS000002000|citsae|ASP|AU
202|AUS000017000|citsae|AUD|AU
203|AUS000018000|citsae|AUU|AU
204|AUS000019000|citsae|AVG|AU
205|AUS000020000|citsae|AWN|AU
809|BFA000009000|citsae|DOR|BF
810|BFA000010000|citsae|FNG|BF
811|BFA000003000|citsae|OUA|BF
812|BFA000024000|citsae|OUG|BF
813|BFA000005000|citsae|PUP|BF
814|BFA000022000|citsae|TEG|BF
815|BFA000021000|citsae|TMQ|BF
816|BFA000023000|citsae|TUQ|BF
817|BFA000004000|citsae|XAR|BF
818|BFA000006000|citsae|XBG|BF
819|TUR000BRS000|citsae|XBO|BF
820|BFA000008000|citsae|XDE|BF
821|BFA000012000|citsae|XDJ|BF
822|BFA000013000|citsae|XGA|BF
823|BFA000011000|citsae|XGG|BF
824|BFA000016000|citsae|XKA|BF
825|BFA000015000|citsae|XKY|BF
826|BFA000017000|citsae|XLU|BF
827|BFA000018000|citsae|XNU|BF
828|BFA000019000|citsae|XPA|BF
829|BFA000020000|citsae|XSE|BF
830|BFA000025000|citsae|XZA|BF
831|BGR000002000|citsae|GOZ|BG
832|BGR000005000|citsae|HKV|BG
833|BGR000006000|citsae|JAM|BG
834|BGR000PDV000|citsae|PDV|BG
835|BGR000ROU000|citsae|ROU|BG
836|BGR000003000|citsae|SLS|BG
837|BGR000GSO000|citsae|SOF|BG
838|BGR000001000|citsae|SZR|BG
839|BGR000004000|citsae|TGV|BG
840|BGR000VAR000|citsae|VAR|BG
841|BHR000000000|citsae|BAH|BH
842|BDI0000GI000|citsae|GID|BI
843|BDI000002000|citsae|KRE|BI
844|BEN000005000|citsae|DJA|BJ
845|BEN000001000|citsae|KDC|BJ
846|BEN000002000|citsae|NAE|BJ
847|BEN000003000|citsae|PKO|BJ
848|BEN000004000|citsae|SVF|BJ
849|BMU000000000|citsae|BDA|BM
850|BOL000001000|citsae|ASC|BO
851|BOL000002000|citsae|BJO|BO
852|BOL000016000|citsae|BVK|BO
853|BOL000003000|citsae|BVL|BO
854|BOL000029000|citsae|BYC|BO
855|BOL000011000|citsae|CAM|BO
856|BOL000CBB000|citsae|CBB|BO
857|BOL000017000|citsae|CEP|BO
858|BOL000004000|citsae|CIJ|BO
859|BOL000008000|citsae|GYA|BO
860|BOL000LPB000|citsae|LPB|BO
861|BOL000021000|citsae|MGD|BO
862|BOL000022000|citsae|MHW|BO
863|BOL000027000|citsae|MQK|BO
864|BOL000ORU000|citsae|ORU|BO
865|BOL000009000|citsae|POI|BO
866|BOL000005000|citsae|PSZ|BO
867|BOL000019000|citsae|PUR|BO
868|BOL000020000|citsae|RBO|BO
869|BOL000012000|citsae|RBQ|BO
870|BOL000018000|citsae|REY|BO
871|BOL000006000|citsae|RIB|BO
872|JAM000ANN000|citsae|SBL|BO
873|BOL000025000|citsae|SJB|BO
874|BOL000013000|citsae|SJS|BO
875|BOL000024000|citsae|SJV|BO
876|BOL000010000|citsae|SNG|BO
877|BOL000028000|citsae|SNM|BO
878|ARG000RSA000|citsae|SRB|BO
879|BOL000026000|citsae|SRD|BO
880|COL000SUC000|citsae|SRE|BO
881|BOL000023000|citsae|SRJ|BO
882|BOL000007000|citsae|TDD|BO
883|BOL000TJA000|citsae|TJA|BO
884|BOL000014000|citsae|VAH|BO
885|BOL000015000|citsae|VLM|BO
886|BOL000SRZ000|citsae|SRZ|BO
887|BRA000087000|citsae|AAG|BR
888|BRA000088000|citsae|AAI|BR
889|BRA000089000|citsae|AAX|BR
890|BRA000090000|citsae|AFL|BR
891|BRA000091000|citsae|AIF|BR
892|BRA000092000|citsae|AIR|BR
893|BRA000006000|citsae|AJU|BR
894|BRA000007000|citsae|ALQ|BR
895|BRA000008000|citsae|ALT|BR
896|BRA000009000|citsae|AMJ|BR
897|BRA000010000|citsae|APQ|BR
898|BRA000011000|citsae|APS|BR
899|BRA000012000|citsae|APU|BR
900|BRA000128000|citsae|APX|BR
901|BRA000013000|citsae|APY|BR
902|BRA000014000|citsae|AQA|BR
903|BRA000015000|citsae|AQM|BR
904|BRA000016000|citsae|ARS|BR
905|BRA000017000|citsae|ARU|BR
906|BRA000018000|citsae|ATM|BR
907|BRA000019000|citsae|AUX|BR
908|BRA000239000|citsae|AXE|BR
909|BRA000020000|citsae|BAT|BR
910|BRA000022000|citsae|BAZ|BR
911|BRA000023000|citsae|BCR|BR
912|BRA000024000|citsae|BDC|BR
913|BRA000025000|citsae|BGV|BR
914|BRA000026000|citsae|BGX|BR
915|BRA000028000|citsae|BJP|BR
916|BRA000029000|citsae|BMS|BR
917|BRA000030000|citsae|BNU|BR
918|BRA000031000|citsae|BPG|BR
919|BRA000032000|citsae|BPS|BR
920|BRA000033000|citsae|BQQ|BR
921|BRA000034000|citsae|BRA|BR
922|BRA000035000|citsae|BRB|BR
923|BRA000BSB000|citsae|BSB|BR
924|BRA000036000|citsae|BSS|BR
925|BRA000037000|citsae|BVB|BR
926|BRA000176000|citsae|BVH|BR
927|BRA000038000|citsae|BVM|BR
928|BRA000039000|citsae|BVS|BR
929|BRA000041000|citsae|BZC|BR
930|BRA000120000|citsae|CAC|BR
931|BRA000206000|citsae|CAF|BR
932|BRA000135000|citsae|CAU|BR
933|BRA000131000|citsae|CAW|BR
934|BRA000212000|citsae|CBW|BR
935|BRA000157000|citsae|CCI|BR
936|BRA000042000|citsae|CCM|BR
937|BRA000156000|citsae|CCX|BR
938|BRA000249000|citsae|CDI|BR
939|BRA000205000|citsae|CDJ|BR
940|BRA000155000|citsae|CFC|BR
941|BRA000213000|citsae|CFO|BR
942|BRA000044000|citsae|CGB|BR
943|BRA0000SP000|citsae|SAO|BR
944|BRA000121000|citsae|CGR|BR
945|BRA000178000|citsae|CIZ|BR
946|BRA000214000|citsae|CKO|BR
947|BRA000045000|citsae|CKS|BR
948|BRA000134000|citsae|CLN|BR
949|BRA000124000|citsae|CLV|BR
950|BRA000130000|citsae|CMC|BR
951|BRA000046000|citsae|CMG|BR
952|BRA000237000|citsae|CMP|BR
953|BRA000208000|citsae|CMT|BR
954|BRA000027000|citsae|BHZ|BR
955|BRA000132000|citsae|CNV|BR
956|BRA000216000|citsae|CPU|BR
957|BRA000047000|citsae|CPV|BR
958|BRA000209000|citsae|CQA|BR
959|BRA000215000|citsae|CQS|BR
960|BRA000133000|citsae|CRQ|BR
961|BRA000211000|citsae|CSS|BR
962|BRA000149000|citsae|CSU|BR
963|BRA000207000|citsae|CTP|BR
964|USAAP1424000|citsae|CTQ|BR
965|BRA000049000|citsae|CXJ|BR
966|BRA000238000|citsae|CZB|BR
967|BRA000050000|citsae|CZS|BR
968|BRA000158000|citsae|DIQ|BR
969|BRA000193000|citsae|DMT|BR
970|BRA000194000|citsae|DNO|BR
971|BRA000136000|citsae|DOU|BR
972|BRA000137000|citsae|ERM|BR
973|BRA000179000|citsae|ERN|BR
974|BRA000185000|citsae|ESI|BR
975|BRA000198000|citsae|FBE|BR
976|BRA000138000|citsae|FEC|BR
977|BRA000197000|citsae|FEJ|BR
978|BRA000093000|citsae|FEN|BR
979|BRA000199000|citsae|FLB|BR
980|BRA000094000|citsae|FLN|BR
981|BRA000095000|citsae|FOR|BR
982|BRA000096000|citsae|FRC|BR
983|BRA000201000|citsae|GDP|BR
984|BRA000097000|citsae|GEL|BR
985|BRA000159000|citsae|GJM|BR
986|BRA000203000|citsae|GMS|BR
987|BRA000202000|citsae|GNM|BR
988|BRA000139000|citsae|GPB|BR
989|BRA000200000|citsae|GRP|BR
990|BRA000123000|citsae|GUJ|BR
991|BRA000122000|citsae|GUZ|BR
992|BRA000098000|citsae|GVR|BR
993|BRA000099000|citsae|GYN|BR
994|BRA000186000|citsae|HRZ|BR
995|BRA000246000|citsae|IDO|BR
996|BRA000003000|citsae|IGU|BR
997|BRA000261000|citsae|IJU|BR
998|BRA000100000|citsae|IMP|BR
999|BRA000101000|citsae|IOS|BR
1000|BRA000259000|citsae|IPG|BR
1001|BRA000102000|citsae|IPN|BR
1002|BRA000260000|citsae|IPU|BR
1003|BRA000160000|citsae|IRE|BR
1004|BRA000262000|citsae|ITA|BR
1005|BRA000103000|citsae|ITB|BR
1006|BRA000161000|citsae|ITE|BR
1007|BRA000264000|citsae|ITI|BR
1008|BRA000140000|citsae|ITN|BR
206|AUS000021000|citsae|AWP|AU
207|AUS000022000|citsae|AXC|AU
208|ITA000ALE000|citsae|AXL|AU
209|AUS000023000|citsae|AYD|AU
210|AUS000024000|citsae|AYL|AU
211|AUS000025000|citsae|AYQ|AU
212|AUS000026000|citsae|AYR|AU
213|AUS000027000|citsae|BCI|AU
214|AUS000028000|citsae|BCK|AU
215|AUS000029000|citsae|BCZ|AU
216|AUS000030000|citsae|BDB|AU
217|AUS000031000|citsae|BDD|AU
218|AUS000032000|citsae|BDW|AU
219|AUS000033000|citsae|BEE|AU
220|AUSNSWNTL000|citsae|NTL|AU
221|AUS000034000|citsae|BEU|AU
222|AUS000035000|citsae|BFC|AU
223|AUS000036000|citsae|BHQ|AU
224|AUS000037000|citsae|BHS|AU
225|AUS000038000|citsae|BHT|AU
226|AUS000039000|citsae|BIP|AU
227|AUS000040000|citsae|BIW|AU
228|AUS000041000|citsae|BKP|AU
229|AUS000042000|citsae|BKQ|AU
230|AUS000043000|citsae|BLN|AU
231|AUS000044000|citsae|BLS|AU
232|AUS000045000|citsae|BLT|AU
233|AUS000003000|citsae|BME|AU
234|AUS000046000|citsae|BMP|AU
235|AUSQLDBNE000|citsae|BNE|AU
236|AUS000047000|citsae|BNK|AU
237|AUS000048000|citsae|BOX|AU
238|AUS000004000|citsae|BQB|AU
239|AUS000049000|citsae|BQL|AU
240|AUS000050000|citsae|BQW|AU
241|AUS000051000|citsae|BRJ|AU
242|AUS000052000|citsae|BRK|AU
243|AUS000053000|citsae|BRT|AU
244|AUS000054000|citsae|BSJ|AU
245|AUS000055000|citsae|BTD|AU
246|AUS000056000|citsae|BTX|AU
247|AUS000057000|citsae|BUC|AU
248|AUS0WABUY000|citsae|BUY|AU
249|AUS000058000|citsae|BVI|AU
250|AUS000059000|citsae|BVW|AU
251|AUS000060000|citsae|BVZ|AU
252|AUS000061000|citsae|BWB|AU
253|AUS000062000|citsae|BWQ|AU
254|AUS000063000|citsae|BWT|AU
255|AUSNSWHBS000|citsae|BWU|AU
256|AUS000065000|citsae|BXG|AU
257|AUS000066000|citsae|BYX|AU
258|AUS000067000|citsae|BZD|AU
259|AUS000068000|citsae|BZP|AU
260|AUS000069000|citsae|CAZ|AU
261|AUS000485000|citsae|CBC|AU
262|AUS000283000|citsae|CBI|AU
263|AUSACT000000|citsae|CBR|AU
264|AUS000359000|citsae|CBX|AU
265|AUS000352000|citsae|CBY|AU
266|AUS000268000|citsae|CCL|AU
267|AUS000361000|citsae|CCW|AU
268|AUS000184000|citsae|CDA|AU
269|AUS000365000|citsae|CDQ|AU
270|AUS000209000|citsae|CDU|AU
271|AUS000070000|citsae|CED|AU
272|AUS000203000|citsae|CES|AU
273|AUS000371000|citsae|CFH|AU
274|AUS000350000|citsae|CFI|AU
275|AUS000343000|citsae|CFP|AU
276|AUS000071000|citsae|CFS|AU
277|AUS000357000|citsae|CGV|AU
278|AUS000263000|citsae|CIE|AU
279|AUS000373000|citsae|CKI|AU
280|AUS000377000|citsae|CLH|AU
281|AUS000072000|citsae|CMA|AU
282|AUS000261000|citsae|CMD|AU
283|AUS000351000|citsae|CML|AU
284|AUS000262000|citsae|CMQ|AU
285|AUS000073000|citsae|CNB|AU
286|AUS000074000|citsae|CNC|AU
287|AUS000075000|citsae|CNJ|AU
288|AUSQLDCNS000|citsae|CNS|AU
289|AUS000381000|citsae|COB|AU
290|AUS000198000|citsae|COJ|AU
291|AUS000380000|citsae|COY|AU
292|AUS000076000|citsae|CPD|AU
293|AUS000356000|citsae|CQP|AU
294|AUS000366000|citsae|CRB|AU
295|AUS000486000|citsae|CRH|AU
296|AUS000378000|citsae|CRJ|AU
297|AUS000345000|citsae|CRY|AU
298|AUS000368000|citsae|CSD|AU
299|AUS000210000|citsae|CSI|AU
300|AUS000077000|citsae|CTL|AU
301|AUS000078000|citsae|CTN|AU
302|AUS000355000|citsae|CTR|AU
303|AUS000008000|citsae|CUD|AU
304|AUS000375000|citsae|CUG|AU
305|AUS000079000|citsae|CUQ|AU
306|AUS000374000|citsae|CUY|AU
307|AUS000370000|citsae|CVC|AU
308|AUS000080000|citsae|CVQ|AU
309|AUS000362000|citsae|CWR|AU
310|AUS000213000|citsae|CWT|AU
311|AUS000212000|citsae|CWW|AU
312|AUS000369000|citsae|CXQ|AU
313|AUS000267000|citsae|CXT|AU
314|AUS000363000|citsae|CYG|AU
315|AUS000372000|citsae|CZY|AU
316|AUS000292000|citsae|DAJ|AU
317|AUS000081000|citsae|DBO|AU
318|AUS000245000|citsae|DBY|AU
319|AUS000293000|citsae|DDN|AU
320|AUS000294000|citsae|DFP|AU
321|AUS000285000|citsae|DGD|AU
322|AUS000082000|citsae|DGE|AU
323|AUS000286000|citsae|DHD|AU
324|AUS000083000|citsae|DKI|AU
325|AUS000304000|citsae|DKV|AU
326|AUS000303000|citsae|DLK|AU
327|AUS000296000|citsae|DLV|AU
328|AUS000084000|citsae|DMD|AU
329|AUS000297000|citsae|DNB|AU
330|AUS000302000|citsae|DNG|AU
331|AUS000214000|citsae|DNM|AU
332|AUS000215000|citsae|DNQ|AU
333|AUS000216000|citsae|DOX|AU
334|AUSTASDPO000|citsae|DPO|AU
335|GBRENGDER000|citsae|DRB|AU
336|AUS000305000|citsae|DRD|AU
337|AUS000299000|citsae|DRN|AU
338|AUS000287000|citsae|DRR|AU
339|AUS0NTDRW000|citsae|DRW|AU
340|AUS000295000|citsae|DRY|AU
341|AUS000288000|citsae|DVP|AU
342|AUS000290000|citsae|DVR|AU
343|AUS000298000|citsae|DXD|AU
344|AUS000300000|citsae|DYA|AU
345|AUS000301000|citsae|DYM|AU
346|AUS000291000|citsae|DYW|AU
347|AUS000185000|citsae|ECH|AU
348|AUS000276000|citsae|EDD|AU
349|AUS000085000|citsae|EDR|AU
350|AUS000275000|citsae|EIH|AU
351|AUS000273000|citsae|EKD|AU
352|AUS000086000|citsae|ELC|AU
353|AUS000087000|citsae|EMD|AU
354|AUS000274000|citsae|ENB|AU
355|AUS000088000|citsae|EPR|AU
356|AUS000306000|citsae|ERB|AU
357|AUS000553000|citsae|ETD|AU
358|AUS000476000|citsae|EUC|AU
359|AUS000554000|citsae|EVD|AU
360|AUS000269000|citsae|EVH|AU
361|AUS000186000|citsae|EXM|AU
362|AUS000308000|citsae|FIK|AU
363|AUS000136000|citsae|FIZ|AU
364|AUS000312000|citsae|FLC|AU
365|AUS000310000|citsae|FLS|AU
366|AUS000309000|citsae|FLY|AU
367|AUS000313000|citsae|FOS|AU
368|AUS000196000|citsae|FOT|AU
369|AUS000246000|citsae|FRB|AU
370|AUS000314000|citsae|FSL|AU
371|AUS000311000|citsae|FVL|AU
372|AUS000315000|citsae|GAH|AU
373|AUS000325000|citsae|GBL|AU
374|AUS000316000|citsae|GBP|AU
375|AUS000336000|citsae|GBV|AU
376|AUS000317000|citsae|GDD|AU
377|AUS000484000|citsae|GEE|AU
378|AUS000137000|citsae|GET|AU
379|AUSVICGEX000|citsae|GEX|AU
380|AUS000323000|citsae|GFE|AU
381|AUS000138000|citsae|GFF|AU
382|AUS000139000|citsae|GFN|AU
383|AUS000321000|citsae|GGD|AU
384|AUS000140000|citsae|GIC|AU
385|AUS000289000|citsae|GKL|AU
386|AUS000324000|citsae|GLG|AU
387|AUS000141000|citsae|GLI|AU
388|AUS000320000|citsae|GLM|AU
389|AUS000142000|citsae|GLT|AU
390|AUS000318000|citsae|GLY|AU
391|AUS000217000|citsae|GOO|AU
392|AUS000197000|citsae|GOS|AU
393|AUS000143000|citsae|GOV|AU
394|AUS000337000|citsae|GPN|AU
395|AUS000338000|citsae|GSC|AU
396|AUS000437000|citsae|GSN|AU
397|AUS000144000|citsae|GTE|AU
398|AUS000319000|citsae|GTS|AU
399|AUS000483000|citsae|GTT|AU
400|AUS000264000|citsae|GUH|AU
401|AUS000188000|citsae|GUL|AU
402|AUS000322000|citsae|GVP|AU
403|AUS000272000|citsae|GYL|AU
404|AUS000218000|citsae|GYP|AU
405|AUS000540000|citsae|HAT|AU
406|AUSTASHBA000|citsae|HBA|AU
407|AUS000145000|citsae|HCQ|AU
408|AUS000146000|citsae|HGD|AU
409|AUS000147000|citsae|HID|AU
410|AUS000326000|citsae|HIG|AU
411|AUS000331000|citsae|HIH|AU
412|AUS000328000|citsae|HIP|AU
413|AUS000148000|citsae|HIS|AU
414|AUS000538000|citsae|HLL|AU
415|USA0ORSTH000|citsae|HLS|AU
416|CAN000HAM000|citsae|HLT|AU
417|AUS000220000|citsae|HLV|AU
418|AUS000327000|citsae|HMG|AU
419|AUS000542000|citsae|HNK|AU
420|AUS000332000|citsae|HOK|AU
421|AUS000334000|citsae|HPE|AU
422|AUS000189000|citsae|HRN|AU
423|AUS000329000|citsae|HRY|AU
424|AUS000190000|citsae|HSM|AU
425|AUS000149000|citsae|HTI|AU
426|AUS000335000|citsae|HTU|AU
427|AUS000330000|citsae|HUB|AU
428|AUS000005000|citsae|HVB|AU
429|AUS000247000|citsae|HWK|AU
430|AUS000219000|citsae|HXX|AU
431|AUS000556000|citsae|IDK|AU
432|AUS000552000|citsae|IFF|AU
433|AUS000559000|citsae|IFL|AU
434|AUS000221000|citsae|IGH|AU
435|AUS000560000|citsae|IKP|AU
436|AUS000252000|citsae|INJ|AU
437|AUS000558000|citsae|INM|AU
438|AUS000150000|citsae|IRG|AU
439|AUS000151000|citsae|ISA|AU
440|AUS000555000|citsae|ISI|AU
441|AUS000152000|citsae|IVR|AU
442|AUS000557000|citsae|IVW|AU
443|AUS000339000|citsae|JAB|AU
444|AUS000562000|citsae|JAD|AU
445|AUS000153000|citsae|JCK|AU
446|AUS000009000|citsae|JFM|AU
447|AUS000487000|citsae|JUN|AU
448|AUS000222000|citsae|JUR|AU
449|AUSVICMEL000|citsae|MEL|AU
450|AUS000191000|citsae|KAX|AU
451|AUS000537000|citsae|KBB|AU
452|AUS000340000|citsae|KBD|AU
453|AUS000341000|citsae|KBJ|AU
454|AUS000236000|citsae|KBY|AU
455|AUS000364000|citsae|KCE|AU
456|AUS000342000|citsae|KCS|AU
457|AUS000358000|citsae|KDB|AU
458|AUS000348000|citsae|KDS|AU
459|AUS000182000|citsae|KFG|AU
460|AUS000154000|citsae|KGC|AU
461|AUS0WAKGI000|citsae|KGI|AU
462|AUS000346000|citsae|KGR|AU
463|AUS000223000|citsae|KGY|AU
464|AUS000376000|citsae|KKP|AU
465|AUS000349000|citsae|KML|AU
466|AUS000354000|citsae|KNI|AU
467|AUS000155000|citsae|KNX|AU
468|AUS000379000|citsae|KOH|AU
469|AUS000344000|citsae|KPP|AU
470|AUS000156000|citsae|KPS|AU
471|AUS000383000|citsae|KQB|AU
472|AUS000367000|citsae|KRA|AU
473|AUS000157000|citsae|KRB|AU
474|AUS000382000|citsae|KRD|AU
475|AUS000497000|citsae|KSV|AU
476|AUS000158000|citsae|KTA|AU
477|AUS000159000|citsae|KTR|AU
478|AUS000160000|citsae|KUG|AU
479|AUS000161000|citsae|KWM|AU
480|AUS000549000|citsae|KYB|AU
481|AUS000550000|citsae|KYF|AU
482|AUS000546000|citsae|KYI|AU
483|AUS000282000|citsae|LCN|AU
484|AUS000181000|citsae|LDC|AU
485|AUS000162000|citsae|LDH|AU
