id|abbreviation|language|code|country|state|city|district|description
66783||zh_cn|GBRSCTABD000|英国|苏格兰|阿伯丁|阿伯丁|英国-苏格兰-阿伯丁
66784||zh_cn|AZE000ABS000|阿塞拜疆|阿布歇隆|阿布歇隆||阿塞拜疆-阿布歇隆
66785||zh_cn|ARE0000AZ000|阿拉伯联合酋长国|阿布扎比|阿布扎比||阿拉伯联合酋长国-阿布扎比
66786||zh_cn|CMR000ADA000|喀麦隆|阿达马瓦|阿达马瓦||喀麦隆-阿达马瓦
66787||zh_cn|TUR000ADA000|土耳其|阿达纳|阿达纳||土耳其-阿达纳
66788||zh_cn|DZA000ADR000|阿尔及利亚|阿德拉尔|阿德拉尔||阿尔及利亚-阿德拉尔
66789||zh_cn|MRT0000AD000|毛里塔尼亚|阿德拉尔|阿德拉尔||毛里塔尼亚-阿德拉尔
66790||zh_cn|AUS0SAADL000|澳大利亚|南澳大利亚|阿德莱德|阿德莱德|澳大利亚-南澳大利亚-阿德莱德
66791||zh_cn|USA0MIADG000|美国|密歇根|阿德里安|阿德里安|美国-密歇根-阿德里安
66792||zh_cn|USA0ALADM000|美国|阿拉巴马|阿德莫尔|阿德莫尔|美国-阿拉巴马-阿德莫尔
66793||zh_cn|TUR000ADI000|土耳其|阿德亚曼|阿德亚曼||土耳其-阿德亚曼
66794||zh_cn|URY0000AR000|乌拉圭|阿蒂加斯|阿蒂加斯||乌拉圭-阿蒂加斯
66795||zh_cn|USA0CAATS000|美国|加利福尼亚|阿蒂西亚|阿蒂西亚|美国-加利福尼亚-阿蒂西亚
66796||zh_cn|MDV000ADD000|马尔代夫|阿杜|阿杜||马尔代夫-阿杜
66797||zh_cn|DEU000ARN000|德国|阿恩斯贝格|阿恩斯贝格||德国-阿恩斯贝格
66798||zh_cn|SAU000ARA000|沙特阿拉伯|阿尔阿尔|阿尔阿尔||沙特阿拉伯-阿尔阿尔
66799||zh_cn|ROU0000AL000|罗马尼亚|阿尔巴尤利亚|阿尔巴尤利亚||罗马尼亚-阿尔巴尤利亚
66800||zh_cn|USA0MNAEL000|美国|明尼苏达|阿尔波特雷阿|阿尔波特雷阿|美国-明尼苏达-阿尔波特雷阿
66801||zh_cn|USA0NMABQ000|美国|新墨西哥|阿尔伯克基|阿尔伯克基|美国-新墨西哥-阿尔伯克基
66802||zh_cn|TUR000ARD000|土耳其|阿尔达罕|阿尔达罕||土耳其-阿尔达罕
66803||zh_cn|CHE0000AG000|瑞士|阿尔高|阿尔高||瑞士-阿尔高
66804||zh_cn|USA000AXG000|美国|阿尔戈纳|阿尔戈纳||美国-阿尔戈纳
66805||zh_cn|RUS000ARK000|俄罗斯|阿尔汉格尔斯克|阿尔汉格尔斯克||俄罗斯-阿尔汉格尔斯克
66806||zh_cn|DZA000ALG000|阿尔及利亚|阿尔及尔|阿尔及尔||阿尔及利亚-阿尔及尔
66807||zh_cn|KAZ000AYK000|哈萨克斯坦|阿尔卡累克|阿尔卡累克||哈萨克斯坦-阿尔卡累克
66808||zh_cn|FRA000ARL000|法国|阿尔勒|阿尔勒||法国-阿尔勒
66809||zh_cn|ARM000ARM000|亚美尼亚|阿尔马维尔|阿尔马维尔||亚美尼亚-阿尔马维尔
66810||zh_cn|NLD000AER000|荷兰|阿尔梅勒|阿尔梅勒||荷兰-阿尔梅勒
66811||zh_cn|ESP000LEI000|西班牙|阿尔梅里亚|阿尔梅里亚||西班牙-阿尔梅里亚
66812||zh_cn|USA0AKKUK000|美国|阿拉斯加|阿尔缪特|阿尔缪特|美国-阿拉斯加-阿尔缪特
66813||zh_cn|USA0CAALE000|美国|加利福尼亚|阿尔派恩|阿尔派恩|美国-加利福尼亚-阿尔派恩
66814||zh_cn|USA0MIAPN000|美国|密歇根|阿尔皮纳|阿尔皮纳|美国-密歇根-阿尔皮纳
66815||zh_cn|USA0AKPTA000|美国|阿拉斯加|阿尔斯沃特港|阿尔斯沃特港|美国-阿拉斯加-阿尔斯沃特港
66816||zh_cn|USA0OKLTS000|美国|俄克拉荷马|阿尔特斯|阿尔特斯|美国-俄克拉荷马-阿尔特斯
66817||zh_cn|TUR000ART000|土耳其|阿尔特温|阿尔特温||土耳其-阿尔特温
66818||zh_cn|USA0PAAOO000|美国|宾夕法尼亚|阿尔托纳|阿尔托纳|美国-宾夕法尼亚-阿尔托纳
66819||zh_cn|ESP000ALB000|西班牙|阿尔瓦塞特|阿尔瓦塞特||西班牙-阿尔瓦塞特
66820||zh_cn|ETH0000AF000|埃塞俄比亚|阿法尔|阿法尔||埃塞俄比亚-阿法尔
66821||zh_cn|TUR000AFY000|土耳其|阿菲永|阿菲永||土耳其-阿菲永
66822||zh_cn|USA0MOAFO000|美国|密苏里|阿夫顿|阿夫顿|美国-密苏里-阿夫顿
66823||zh_cn|USA0MTHVR000|美国|蒙大拿|阿夫雷|阿夫雷|美国-蒙大拿-阿夫雷
66824||zh_cn|MEX000AGU000|墨西哥|阿瓜斯卡连斯特|阿瓜斯卡连斯特||墨西哥-阿瓜斯卡连斯特
66825||zh_cn|TKM00000A000|土库曼斯坦|阿哈尔|阿哈尔||土库曼斯坦-阿哈尔
66826||zh_cn|USA0AKKKI000|美国|阿拉斯加|阿基亚查克|阿基亚查克|美国-阿拉斯加-阿基亚查克
66827||zh_cn|USA0AKAKI000|美国|阿拉斯加|阿基亚克|阿基亚克|美国-阿拉斯加-阿基亚克
66828||zh_cn|JOR0000AJ000|约旦|阿吉隆|阿吉隆||约旦-阿吉隆
66829||zh_cn|NER000AJY000|尼日尔|阿加德兹|阿加德兹||尼日尔-阿加德兹
66830||zh_cn|RUS000AGI000|俄罗斯|阿金斯科耶|阿金斯科耶||俄罗斯-阿金斯科耶
66831||zh_cn|MEX000ACA000|墨西哥|阿卡普尔科|阿卡普尔科||墨西哥-阿卡普尔科
66832||zh_cn|BRA0000AC000|巴西|阿克里|阿克里||巴西-阿克里
66833||zh_cn|USA0OHAKO000|美国|俄亥俄|阿克伦|阿克伦|美国-俄亥俄-阿克伦
66834||zh_cn|USA0OHCAK000|美国|俄亥俄|阿克伦/坎通|阿克伦/坎通|美国-俄亥俄-阿克伦/坎通
66835||zh_cn|KAZ000AKM000|哈萨克斯坦|阿克莫拉|阿克莫拉||哈萨克斯坦-阿克莫拉
66836||zh_cn|TUR000AKS000|土耳其|阿克萨赖|阿克萨赖||土耳其-阿克萨赖
66837||zh_cn|NOR000002000|挪威|阿克什胡斯|阿克什胡斯||挪威-阿克什胡斯
66838||zh_cn|KAZ000AKS000|哈萨克斯坦|阿克苏|阿克苏||哈萨克斯坦-阿克苏
66839|阿克苏市|zh_cn|CHN065029001|中国|新疆|阿克苏|阿克苏市|中国-新疆-阿克苏-阿克苏市
66840|阿瓦提县|zh_cn|CHN065029028|中国|新疆|阿克苏|阿瓦提县|中国-新疆-阿克苏-阿瓦提县
66841|拜城县|zh_cn|CHN065029026|中国|新疆|阿克苏|拜城县|中国-新疆-阿克苏-拜城县
66842|柯坪县|zh_cn|CHN065029029|中国|新疆|阿克苏|柯坪县|中国-新疆-阿克苏-柯坪县
66843|库车县|zh_cn|CHN065029023|中国|新疆|阿克苏|库车县|中国-新疆-阿克苏-库车县
66844|沙雅县|zh_cn|CHN065029024|中国|新疆|阿克苏|沙雅县|中国-新疆-阿克苏-沙雅县
66845|温宿县|zh_cn|CHN065029022|中国|新疆|阿克苏|温宿县|中国-新疆-阿克苏-温宿县
66846|乌什县|zh_cn|CHN065029027|中国|新疆|阿克苏|乌什县|中国-新疆-阿克苏-乌什县
66847|新和县|zh_cn|CHN065029025|中国|新疆|阿克苏|新和县|中国-新疆-阿克苏-新和县
66848||zh_cn|CHN065029000|中国|新疆|阿克苏|阿克苏|中国-新疆-阿克苏
66849||zh_cn|USA0CAACV000|美国|加利福尼亚|阿克塔|阿克塔|美国-加利福尼亚-阿克塔
66850||zh_cn|KAZ000AKT000|哈萨克斯坦|阿克托别|阿克托别||哈萨克斯坦-阿克托别
66851||zh_cn|USA0AKAKK000|美国|阿拉斯加|阿克希奥克|阿克希奥克|美国-阿拉斯加-阿克希奥克
66852||zh_cn|USA0AKKQA000|美国|阿拉斯加|阿库坦|阿库坦|美国-阿拉斯加-阿库坦
66853||zh_cn|ROU0000AR000|罗马尼亚|阿拉德|阿拉德||罗马尼亚-阿拉德
66854||zh_cn|CHN065092000|中国|新疆|阿拉尔|阿拉尔|中国-新疆-阿拉尔
66855||zh_cn|BRA0000AL000|巴西|阿拉戈斯|阿拉戈斯||巴西-阿拉戈斯
66856||zh_cn|VEN00000D000|委内瑞拉|阿拉瓜|阿拉瓜||委内瑞拉-阿拉瓜
66857||zh_cn|CRI00000A000|哥斯达黎加|阿拉胡埃拉|阿拉胡埃拉||哥斯达黎加-阿拉胡埃拉
66858||zh_cn|ARM000AGT000|亚美尼亚|阿拉加措特恩|阿拉加措特恩||亚美尼亚-阿拉加措特恩
66859||zh_cn|USA0AKAET000|美国|阿拉斯加|阿拉卡基特|阿拉卡基特|美国-阿拉斯加-阿拉卡基特
66860||zh_cn|USA000AUK000|美国|阿拉克纳克|阿拉克纳克||美国-阿拉克纳克
66861||zh_cn|ARM000ARA000|亚美尼亚|阿拉拉特|阿拉拉特||亚美尼亚-阿拉拉特
66862||zh_cn|USA0CANGZ000|美国|加利福尼亚|阿拉梅达|阿拉梅达|美国-加利福尼亚-阿拉梅达
66863||zh_cn|USA0NMALM000|美国|新墨西哥|阿拉莫戈多|阿拉莫戈多|美国-新墨西哥-阿拉莫戈多
66864||zh_cn|USA0COALS000|美国|科罗拉多|阿拉莫萨|阿拉莫萨|美国-科罗拉多-阿拉莫萨
66865||zh_cn|KAZ000ALA000|哈萨克斯坦|阿拉木图|阿拉木图||哈萨克斯坦-阿拉木图
66866||zh_cn|USA0COAHF000|美国|科罗拉多|阿拉珀霍|阿拉珀霍|美国-科罗拉多-阿拉珀霍
66867|阿拉善右旗|zh_cn|CHN015029022|中国|内蒙古|阿拉善|阿拉善右旗|中国-内蒙古-阿拉善-阿拉善右旗
66868|阿拉善左旗|zh_cn|CHN015029021|中国|内蒙古|阿拉善|阿拉善左旗|中国-内蒙古-阿拉善-阿拉善左旗
66869|额济纳旗|zh_cn|CHN015029023|中国|内蒙古|阿拉善|额济纳旗|中国-内蒙古-阿拉善-额济纳旗
66870||zh_cn|CHN015029000|中国|内蒙古|阿拉善|阿拉善|中国-内蒙古-阿拉善
66871||zh_cn|USA0AKWLK000|美国|阿拉斯加|阿拉斯加萨拉维克|阿拉斯加萨拉维克|美国-阿拉斯加-阿拉斯加萨拉维克
66872||zh_cn|USA0AKWBB000|美国|阿拉斯加|阿拉斯加特宾斯|阿拉斯加特宾斯|美国-阿拉斯加-阿拉斯加特宾斯
66873||zh_cn|USA0AKWWP000|美国|阿拉斯加|阿拉斯加维尔帕斯|阿拉斯加维尔帕斯|美国-阿拉斯加-阿拉斯加维尔帕斯
66874||zh_cn|ESP000ALA000|西班牙|阿拉瓦|阿拉瓦||西班牙-阿拉瓦
66875||zh_cn|USA0NEAIA000|美国|内布拉斯加|阿莱恩斯|阿莱恩斯|美国-内布拉斯加-阿莱恩斯
66876||zh_cn|COL000ARA000|哥伦比亚|阿劳卡|阿劳卡||哥伦比亚-阿劳卡
66877||zh_cn|CHL0000AR000|智利|阿劳卡尼亚大区|阿劳卡尼亚大区||智利-阿劳卡尼亚大区
66878||zh_cn|TUR000AGR000|土耳其|阿勒|阿勒||土耳其-阿勒
66879||zh_cn|USA000AMN000|美国|阿勒马|阿勒马||美国-阿勒马
66880||zh_cn|USA0AKWKK000|美国|阿拉斯加|阿勒纳季克|阿勒纳季克|美国-阿拉斯加-阿勒纳季克
66881||zh_cn|SYR0000HL000|叙利亚|阿勒颇|阿勒颇||叙利亚-阿勒颇
66882|阿勒泰市|zh_cn|CHN065043001|中国|新疆|阿勒泰|阿勒泰市|中国-新疆-阿勒泰-阿勒泰市
66883|布尔津县|zh_cn|CHN065043021|中国|新疆|阿勒泰|布尔津县|中国-新疆-阿勒泰-布尔津县
66884|福海县|zh_cn|CHN065043023|中国|新疆|阿勒泰|福海县|中国-新疆-阿勒泰-福海县
66885|富蕴县|zh_cn|CHN065043022|中国|新疆|阿勒泰|富蕴县|中国-新疆-阿勒泰-富蕴县
66886|哈巴河县|zh_cn|CHN065043024|中国|新疆|阿勒泰|哈巴河县|中国-新疆-阿勒泰-哈巴河县
66887|吉木乃县|zh_cn|CHN065043026|中国|新疆|阿勒泰|吉木乃县|中国-新疆-阿勒泰-吉木乃县
66888|青河县|zh_cn|CHN065043025|中国|新疆|阿勒泰|青河县|中国-新疆-阿勒泰-青河县
66889||zh_cn|CHN065043000|中国|新疆|阿勒泰|阿勒泰|中国-新疆-阿勒泰
66890||zh_cn|PER0000AR000|秘鲁|阿雷基帕|阿雷基帕||秘鲁-阿雷基帕
66891||zh_cn|KAZ000ARY000|哈萨克斯坦|阿雷斯|阿雷斯||哈萨克斯坦-阿雷斯
66892||zh_cn|BEN0000AL000|贝宁|阿黎博里|阿黎博里||贝宁-阿黎博里
66893|措勤县|zh_cn|CHN054025027|中国|西藏|阿里|措勤县|中国-西藏-阿里-措勤县
66894|噶尔县|zh_cn|CHN054025023|中国|西藏|阿里|噶尔县|中国-西藏-阿里-噶尔县
66895|改则县|zh_cn|CHN054025026|中国|西藏|阿里|改则县|中国-西藏-阿里-改则县
66896|革吉县|zh_cn|CHN054025025|中国|西藏|阿里|革吉县|中国-西藏-阿里-革吉县
66897|普兰县|zh_cn|CHN054025021|中国|西藏|阿里|普兰县|中国-西藏-阿里-普兰县
66898|日土县|zh_cn|CHN054025024|中国|西藏|阿里|日土县|中国-西藏-阿里-日土县
66899|札达县|zh_cn|CHN054025022|中国|西藏|阿里|札达县|中国-西藏-阿里-札达县
66900||zh_cn|CHN054025000|中国|西藏|阿里|阿里|中国-西藏-阿里
66901||zh_cn|DJI00000S000|吉布提|阿里萨比赫区|阿里萨比赫区||吉布提-阿里萨比赫区
66902||zh_cn|USA000AQY000|美国|阿里耶斯卡|阿里耶斯卡||美国-阿里耶斯卡
66903||zh_cn|ESP000ALC000|西班牙|阿利坎特|阿利坎特||西班牙-阿利坎特
66904||zh_cn|USA0AKALZ000|美国|阿拉斯加|阿利塔克|阿利塔克|美国-阿拉斯加-阿利塔克
66905||zh_cn|LTU0000AL000|立陶宛|阿利图斯|阿利图斯||立陶宛-阿利图斯
66906||zh_cn|USA0ILJLH000|美国|伊利诺斯|阿灵顿海茨|阿灵顿海茨|美国-伊利诺斯-阿灵顿海茨
66907||zh_cn|LVA000ALU000|拉脱维亚|阿卢克斯内|阿卢克斯内||拉脱维亚-阿卢克斯内
66908||zh_cn|UGA000ARU000|乌干达|阿鲁阿|阿鲁阿||乌干达-阿鲁阿
66909||zh_cn|TZA0000AR000|坦桑尼亚|阿鲁沙|阿鲁沙||坦桑尼亚-阿鲁沙
66910||zh_cn|USA0PAAEW000|美国|宾夕法尼亚|阿伦敦|阿伦敦|美国-宾夕法尼亚-阿伦敦
66911||zh_cn|VEN00000Y000|委内瑞拉|阿马库罗三角洲|阿马库罗三角洲||委内瑞拉-阿马库罗三角洲
66912||zh_cn|USA0TXAMA000|美国|德克萨斯|阿马里洛|阿马里洛|美国-德克萨斯-阿马里洛
66913||zh_cn|BRA0000AP000|巴西|阿马帕|阿马帕||巴西-阿马帕
66914||zh_cn|TUR000AMA000|土耳其|阿马西亚|阿马西亚||土耳其-阿马西亚
66915||zh_cn|PRY0000AM000|巴拉圭|阿曼拜|阿曼拜||巴拉圭-阿曼拜
66916||zh_cn|USA000AYZ000|美国|阿米蒂维尔|阿米蒂维尔||美国-阿米蒂维尔
66917||zh_cn|NLD000AME000|荷兰|阿默斯福特|阿默斯福特||荷兰-阿默斯福特
66918||zh_cn|ETH0000AH000|埃塞俄比亚|阿姆哈拉|阿姆哈拉||埃塞俄比亚-阿姆哈拉
66919||zh_cn|USA000AOS000|美国|阿姆克|阿姆克||美国-阿姆克
66920||zh_cn|YEM0000AM000|也门|阿姆兰|阿姆兰||也门-阿姆兰
66921||zh_cn|NLD000AMS000|荷兰|阿姆斯特丹|阿姆斯特丹||荷兰-阿姆斯特丹
66922||zh_cn|USA0LAPTL000|美国|路易斯安那|阿姆斯特朗港|阿姆斯特朗港|美国-路易斯安那-阿姆斯特朗港
66923||zh_cn|ASM000AAN000|美属萨摩亚|阿纳|阿纳||美属萨摩亚-阿纳
66924||zh_cn|RUS000DYR000|俄罗斯|阿纳德尔|阿纳德尔||俄罗斯-阿纳德尔
66925||zh_cn|USA000NDV000|美国|阿纳科斯蒂亚|阿纳科斯蒂亚||美国-阿纳科斯蒂亚
66926||zh_cn|USA0WAOTS000|美国|华盛顿|阿纳科特斯|阿纳科特斯|美国-华盛顿-阿纳科特斯
66927||zh_cn|USA0AKAKP000|美国|阿拉斯加|阿纳克图沃克|阿纳克图沃克|美国-阿拉斯加-阿纳克图沃克
66928||zh_cn|NLD000ARN000|荷兰|阿纳姆|阿纳姆||荷兰-阿纳姆
66929||zh_cn|USA000ANA000|美国|阿纳希姆|阿纳希姆||美国-阿纳希姆
66930||zh_cn|USA0AKANI000|美国|阿拉斯加|阿尼亚克|阿尼亚克|美国-阿拉斯加-阿尼亚克
66931||zh_cn|CIV0000AG000|科特迪瓦|阿涅比|阿涅比||科特迪瓦-阿涅比
66932||zh_cn|LKA000ADP000|斯里兰卡|阿努拉德普勒|阿努拉德普勒||斯里兰卡-阿努拉德普勒
66933||zh_cn|UGA000APC000|乌干达|阿帕克|阿帕克||乌干达-阿帕克
66934||zh_cn|ZAF000UTN000|南非|阿平顿|阿平顿||南非-阿平顿
66935||zh_cn|NLD000APE000|荷兰|阿珀尔多伦|阿珀尔多伦||荷兰-阿珀尔多伦
66936||zh_cn|USA0CAAPV000|美国|加利福尼亚|阿普尔瓦利|阿普尔瓦利|美国-加利福尼亚-阿普尔瓦利
66937||zh_cn|USA0CACCB000|美国|加利福尼亚|阿普兰|阿普兰|美国-加利福尼亚-阿普兰
66938||zh_cn|VEN00000C000|委内瑞拉|阿普雷|阿普雷||委内瑞拉-阿普雷
66939||zh_cn|PER0000AP000|秘鲁|阿普里马克|阿普里马克||秘鲁-阿普里马克
66940||zh_cn|MRT0000AS000|毛里塔尼亚|阿萨巴|阿萨巴||毛里塔尼亚-阿萨巴
66941||zh_cn|GHA0000AS000|加纳|阿散蒂|阿散蒂||加纳-阿散蒂
66942||zh_cn|NLD000ASS000|荷兰|阿森|阿森||荷兰-阿森
66943||zh_cn|USA0OHATO000|美国|俄亥俄|阿森斯|阿森斯|美国-俄亥俄-阿森斯
66944||zh_cn|ISR000ASH000|以色列|阿什杜德|阿什杜德||以色列-阿什杜德
66945||zh_cn|TKM000ASB000|土库曼斯坦|阿什哈巴德市|阿什哈巴德市||土库曼斯坦-阿什哈巴德市
66946||zh_cn|USA0KYASX000|美国|肯塔基|阿什兰|阿什兰|美国-肯塔基-阿什兰
66947||zh_cn|USA000ASY000|美国|阿什利|阿什利||美国-阿什利
66948||zh_cn|USA0NCAVL000|美国|北卡罗来纳|阿什维尔|阿什维尔|美国-北卡罗来纳-阿什维尔
66949||zh_cn|USA0NJARX000|美国|新泽西|阿斯伯里帕克|阿斯伯里帕克|美国-新泽西-阿斯伯里帕克
66950||zh_cn|ITA000AST000|意大利|阿斯蒂|阿斯蒂||意大利-阿斯蒂
66951||zh_cn|ITA000ASP000|意大利|阿斯科利皮切诺|阿斯科利皮切诺||意大利-阿斯科利皮切诺
66952||zh_cn|USA0COASE000|美国|科罗拉多|阿斯彭|阿斯彭|美国-科罗拉多-阿斯彭
66953||zh_cn|KAZ000AST000|哈萨克斯坦|阿斯塔纳市|阿斯塔纳市||哈萨克斯坦-阿斯塔纳市
66954||zh_cn|RUS000AST000|俄罗斯|阿斯特拉罕|阿斯特拉罕||俄罗斯-阿斯特拉罕
66955||zh_cn|ESP000AST000|西班牙|阿斯图利亚斯|阿斯图利亚斯||西班牙-阿斯图利亚斯
66956||zh_cn|USA000AST000|美国|阿斯托里亚|阿斯托里亚||美国-阿斯托里亚
66957||zh_cn|EGY000ASW000|埃及|阿斯旺|阿斯旺||埃及-阿斯旺
66958||zh_cn|ECU00000A000|厄瓜多尔|阿苏艾|阿苏艾||厄瓜多尔-阿苏艾
66959||zh_cn|LAO0000AT000|老挝|阿速坡|阿速坡||老挝-阿速坡
66960||zh_cn|CHL0000AT000|智利|阿塔卡马大区|阿塔卡马大区||智利-阿塔卡马大区
66961||zh_cn|BEN0000AK000|贝宁|阿塔科拉|阿塔科拉||贝宁-阿塔科拉
66962||zh_cn|USA0AKAKB000|美国|阿拉斯加|阿特卡|阿特卡|美国-阿拉斯加-阿特卡
66963||zh_cn|USA0AKATK000|美国|阿拉斯加|阿特卡什克|阿特卡什克|美国-阿拉斯加-阿特卡什克
66964||zh_cn|HND0000AT000|洪都拉斯|阿特兰蒂达|阿特兰蒂达||洪都拉斯-阿特兰蒂达
66965||zh_cn|KAZ000ATY000|哈萨克斯坦|阿特劳|阿特劳||哈萨克斯坦-阿特劳
66966||zh_cn|ASM000ATU000|美属萨摩亚|阿图阿|阿图阿||美属萨摩亚-阿图阿
66967||zh_cn|USA0AKATU000|美国|阿拉斯加|阿图岛|阿图岛|美国-阿拉斯加-阿图岛
66968||zh_cn|SLV0000AH000|萨尔瓦多|阿瓦查潘|阿瓦查潘||萨尔瓦多-阿瓦查潘
66969||zh_cn|ESP000AVI000|西班牙|阿维拉|阿维拉||西班牙-阿维拉
66970||zh_cn|FRA000AJA000|法国|阿雅克修|阿雅克修||法国-阿雅克修
66971||zh_cn|PER0000AY000|秘鲁|阿亚库乔|阿亚库乔||秘鲁-阿亚库乔
66972||zh_cn|PRY0000PH000|巴拉圭|阿耶斯总统省|阿耶斯总统省||巴拉圭-阿耶斯总统省
66973||zh_cn|TLS0000AL000|东帝汶|阿伊莱乌|阿伊莱乌||东帝汶-阿伊莱乌
66974||zh_cn|TLS0000AN000|东帝汶|阿伊纳罗|阿伊纳罗||东帝汶-阿伊纳罗
66975||zh_cn|UGA000ADJ000|乌干达|阿朱马尼|阿朱马尼||乌干达-阿朱马尼
66976||zh_cn|USA0IDADT000|美国|爱达荷|埃达|埃达|美国-爱达荷-埃达
66977||zh_cn|NLD000EDE000|荷兰|埃德|埃德||荷兰-埃德
66978||zh_cn|CAN000EDM000|加拿大|埃德蒙顿|埃德蒙顿||加拿大-埃德蒙顿
66979||zh_cn|USA0AKEDA000|美国|阿拉斯加|埃德纳贝|埃德纳贝|美国-阿拉斯加-埃德纳贝
66980||zh_cn|TUR000EDI000|土耳其|埃迪尔内|埃迪尔内||土耳其-埃迪尔内
66981||zh_cn|ECU00000O000|厄瓜多尔|埃尔奥罗|埃尔奥罗||厄瓜多尔-埃尔奥罗
66982||zh_cn|POL000ELB000|波兰|埃尔布隆格|埃尔布隆格||波兰-埃尔布隆格
66983||zh_cn|USA0ARELD000|美国|阿肯色|埃尔多拉多|埃尔多拉多|美国-阿肯色-埃尔多拉多
66984||zh_cn|USA0CAEDK000|美国|加利福尼亚|埃尔多拉多|埃尔多拉多|美国-加利福尼亚-埃尔多拉多
66985||zh_cn|USA0AKELV000|美国|阿拉斯加|埃尔芬考夫|埃尔芬考夫|美国-阿拉斯加-埃尔芬考夫
66986||zh_cn|KEN000EMA000|肯尼亚|埃尔格约-马拉奎特|埃尔格约-马拉奎特||肯尼亚-埃尔格约-马拉奎特
66987||zh_cn|USA0AREKN000|美国|阿肯色|埃尔金斯|埃尔金斯|美国-阿肯色-埃尔金斯
66988||zh_cn|TUR000EZC000|土耳其|埃尔津詹|埃尔津詹||土耳其-埃尔津詹
66989||zh_cn|USA0CACJN000|美国|加利福尼亚|埃尔卡洪|埃尔卡洪|美国-加利福尼亚-埃尔卡洪
66990||zh_cn|USA0NVEKO000|美国|内华达|埃尔科|埃尔科|美国-内华达-埃尔科
66991||zh_cn|USA0OKELK000|美国|俄克拉荷马|埃尔克城|埃尔克城|美国-俄克拉荷马-埃尔克城
