id|code|country_pinyin|country_code|state_pinyin|state_code|city_pinyin|city_code|district_pinyin|district_code
36443|USA0OHATO000|Mei Guo |USA|E Hai E |0OH|A Sen Si |ATO||
36444|ISR000ASH000|Yi Se Lie |ISR||000|A Shi Du De |ASH||
36445|TKM000ASB000|Tu Ku Man Si Tan |TKM||000|A Shi Ha Ba De Shi |ASB||
36446|USA0KYASX000|Mei Guo |USA|Ken Ta Ji |0KY|A Shi Lan |ASX||
36447|USA000ASY000|Mei Guo |USA||000|A Shi Li |ASY||
36448|USA0NCAVL000|Mei Guo |USA|Bei Ka Luo Lai Na |0NC|A Shi Wei Er |AVL||
36449|USA0NJARX000|Mei Guo |USA|Xin Ze Xi |0NJ|A Si Bo Li Pa Ke |ARX||
36450|ITA000AST000|Yi Da Li |ITA||000|A Si Di |AST||
36451|ITA000ASP000|Yi Da Li |ITA||000|A Si Ke Li Pi Qie Nuo |ASP||
36452|USA0COASE000|Mei Guo |USA|Ke Luo La Duo |0CO|A Si Peng |ASE||
36453|KAZ000AST000|Ha Sa Ke Si Tan |KAZ||000|A Si Ta Na Shi |AST||
36454|RUS000AST000|E Luo Si |RUS||000|A Si Te La Han |AST||
36455|ESP000AST000|Xi Ban Ya |ESP||000|A Si Tu Li Ya Si |AST||
36456|USA000AST000|Mei Guo |USA||000|A Si Tuo Li Ya |AST||
36457|EGY000ASW000|Ai Ji |EGY||000|A Si Wang |ASW||
36458|ECU00000A000|E Gua Duo Er |ECU||000|A Su Ai |00A||
36459|LAO0000AT000|Lao Wo |LAO||000|A Su Po |0AT||
36460|CHL0000AT000|Zhi Li |CHL||000|A Ta Ka Ma Da Qu |0AT||
36461|BEN0000AK000|Bei Ning |BEN||000|A Ta Ke La |0AK||
36462|USA0AKAKB000|Mei Guo |USA|A La Si Jia |0AK|A Te Ka |AKB||
36463|USA0AKATK000|Mei Guo |USA|A La Si Jia |0AK|A Te Ka Shi Ke |ATK||
36464|HND0000AT000|Hong Du La Si |HND||000|A Te Lan Di Da |0AT||
36465|KAZ000ATY000|Ha Sa Ke Si Tan |KAZ||000|A Te Lao |ATY||
36466|ASM000ATU000|Mei Shu Sa Mo Ya |ASM||000|A Tu A |ATU||
36467|USA0AKATU000|Mei Guo |USA|A La Si Jia |0AK|A Tu Dao |ATU||
36468|SLV0000AH000|Sa Er Wa Duo |SLV||000|A Wa Cha Pan |0AH||
36469|ESP000AVI000|Xi Ban Ya |ESP||000|A Wei La |AVI||
36470|FRA000AJA000|Fa Guo |FRA||000|A Ya Ke Xiu |AJA||
36471|PER0000AY000|Mi Lu |PER||000|A Ya Ku Qiao |0AY||
36472|PRY0000PH000|Ba La Gui |PRY||000|A Ye Si Zong Tong Sheng |0PH||
36473|TLS0000AL000|Dong Di Wen |TLS||000|A Yi Lai Wu |0AL||
36474|TLS0000AN000|Dong Di Wen |TLS||000|A Yi Na Luo |0AN||
36475|UGA000ADJ000|Wu Gan Da |UGA||000|A Zhu Ma Ni |ADJ||
36476|USA0IDADT000|Mei Guo |USA|Ai Da He |0ID|Ai Da |ADT||
36477|NLD000EDE000|He Lan |NLD||000|Ai De |EDE||
36478|CAN000EDM000|Jia Na Da |CAN||000|Ai De Meng Dun |EDM||
36479|USA0AKEDA000|Mei Guo |USA|A La Si Jia |0AK|Ai De Na Bei |EDA||
36480|TUR000EDI000|Tu Er Qi |TUR||000|Ai Di Er Na |EDI||
36481|ECU00000O000|E Gua Duo Er |ECU||000|Ai Er Ao Luo |00O||
36482|POL000ELB000|Bo Lan |POL||000|Ai Er Bu Long Ge |ELB||
36483|USA0ARELD000|Mei Guo |USA|A Ken Se |0AR|Ai Er Duo La Duo |ELD||
36484|USA0CAEDK000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|Ai Er Duo La Duo |EDK||
36485|USA0AKELV000|Mei Guo |USA|A La Si Jia |0AK|Ai Er Fen Kao Fu |ELV||
36486|KEN000EMA000|Ken Ni Ya |KEN||000|Ai Er Ge Yue -Ma La Kui Te |EMA||
36487|USA0AREKN000|Mei Guo |USA|A Ken Se |0AR|Ai Er Jin Si |EKN||
36488|TUR000EZC000|Tu Er Qi |TUR||000|Ai Er Jin Zhan |EZC||
36489|USA0CACJN000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|Ai Er Ka Hong |CJN||
36490|USA0NVEKO000|Mei Guo |USA|Na Hua Da |0NV|Ai Er Ke |EKO||
36491|USA0OKELK000|Mei Guo |USA|E Ke La He Ma |0OK|Ai Er Ke Cheng |ELK||
36492|USA0INEKI000|Mei Guo |USA|Yin Di An Na |0IN|Ai Er Ke Ha Te |EKI||
36493|TLS0000ER000|Dong Di Wen |TLS||000|Ai Er Mei La |0ER||
36494|USA0CAEMT000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|Ai Er Meng Te |EMT||
36495|HND0000PA000|Hong Du La Si |HND||000|Ai Er Pa La Yi Suo |0PA||
36496|USA0TXELP000|Mei Guo |USA|De Ke Sa Si |0TX|Ai Er Pa Suo |ELP||
36497|GTM0000PR000|Wei Di Ma La |GTM||000|Ai Er Pu Luo Ge Lei Suo |0PR||
36498|TUR000EZR000|Tu Er Qi |TUR||000|Ai Er Zu Lu Mu |EZR||
36499|USA0PAEPH000|Mei Guo |USA|Bin Xi Fa Ni Ya |0PA|Ai Fu La Ta |EPH||
36500|USA0MNEVM000|Mei Guo |USA|Ming Ni Su Da |0MN|Ai Fu Lai Si |EVM||
36501|USA0WAPAE000|Mei Guo |USA|Hua Sheng Dun |0WA|Ai Fu Li Te |PAE||
36502|KAZ000EKB000|Ha Sa Ke Si Tan |KAZ||000|Ai Ji Ba Si Tu Zi |EKB||
36503|GBRENGEXE000|Ying Guo |GBR|Ying Ge Lan |ENG|Ai Ke Sai Te |EXE||
36504|USA0AKKKU000|Mei Guo |USA|A La Si Jia |0AK|Ai Ku Ke |KKU||
36505|USA0AKKEK000|Mei Guo |USA|A La Si Jia |0AK|Ai Kuo Ke |KEK||
36506|TUR000ELA000|Tu Er Qi |TUR||000|Ai La Ze |ELA||
36507|USA000ERR000|Mei Guo |USA||000|Ai Le Er |ERR||
36508|USA0AKELW000|Mei Guo |USA|A La Si Jia |0AK|Ai Le Ma Er |ELW||
36509|CRI00000H000|Ge Si Da Li Jia |CRI||000|Ai Lei Di Ya |00H||
36510|ARM000EVN000|Ya Mei Ni Ya |ARM||000|Ai Li Wen Shi |EVN||
36511|USA0AKELI000|Mei Guo |USA|A La Si Jia |0AK|Ai Li Mu |ELI||
36512|RUS000ESL000|E Luo Si |RUS||000|Ai Li Si Ta |ESL||
36513|NAM0000ER000|Na Mi Bi Ya |NAM||000|Ai Long Ge |0ER||
36514|USA0WAELN000|Mei Guo |USA|Hua Sheng Dun |0WA|Ai Lun Si Bao |ELN||
36515|NLD000EMM000|He Lan |NLD||000|Ai Men |EMM||
36516|USA0AKEMK000|Mei Guo |USA|A La Si Jia |0AK|Ai Mo Na Ke |EMK||
36517|MEX000HMO000|Mo Xi Ge |MEX||000|Ai Mo Xi Yue |HMO||
36518|USA0GAAHH000|Mei Guo |USA|Zuo Zhi Ya |0GA|Ai Mo Li |AHH||
36519|USA0IAAMW000|Mei Guo |USA|Ai He Hua |0IA|Ai Mu Si |AMW||
36520|BEL000WHT000|Bi Li Shi |BEL||000|Ai Nuo |WHT||
36521|MEX000CAM000|Mo Xi Ge |MEX||000|Ai Pei Qie |CAM||
36522|USA0WIEDG000|Mei Guo |USA|Wei Si Kang Xing |0WI|Ai Qi Wu De |EDG||
36523|GUY0000EW000|Gui Ya Na |GUY||000|Ai Sai Kui Bo Qun Dao -Xi De Mei La La |0EW||
36524|FIN000ESP000|Fen Lan |FIN||000|Ai Si Bo |ESP||
36525|TUR000ESK000|Tu Er Qi |TUR||000|Ai Si Ji Xie Xi Er |ESK||
36526|USA0MIESC000|Mei Guo |USA|Mi Xie Gen |0MI|Ai Si Ka Na Ba |ESC||
36527|GTM0000ES000|Wei Di Ma La |GTM||000|Ai Si Kun Te La |0ES||
36528|ECU00000E000|E Gua Duo Er |ECU||000|Ai Si Mei La Er Da Si |00E||
36529|USA0NMESO000|Mei Guo |USA|Xin Mo Xi Ge |0NM|Ai Si Pa Ni Ao La |ESO||
36530|NIC0000ES000|Ni Jia La Gua |NIC||000|Ai Si Te Li |0ES||
36531|USA0IAEST000|Mei Guo |USA|Ai He Hua |0IA|Ai Si Te Wei Er |EST||
36532|TON00000E000|Tang Jia |TON||000|Ai Wa |00E||
36533|USA0AZEVA000|Mei Guo |USA|Ya Li Sang Na |0AZ|Ai Wen Dai Er |EVA||
36534|USA000AVO000|Mei Guo |USA||000|Ai Wen Pa Ke |AVO||
36535|USA0WYEVD000|Mei Guo |USA|Huai E Ming |0WY|Ai Wen Si Dun |EVD||
36536|USA0WYEVW000|Mei Guo |USA|Huai E Ming |0WY|Ai Wen Si Dun |EVW||
36537|USA0INEVV000|Mei Guo |USA|Yin Di An Na |0IN|Ai Wen Si Wei Er |EVV||
36538|USA000ICY000|Mei Guo |USA||000|Ai Xi Bei |ICY||
36539|NLD000EIN000|He Lan |NLD||000|Ai Yin Huo Fen |EIN||
36540|USA0IAIOW000|Mei Guo |USA|Ai He Hua |0IA|Ai Ao Wa Cheng |IOW||
36541|USA0IAIFA000|Mei Guo |USA|Ai He Hua |0IA|Ai Ao Wa Fu Er Si |IFA||
36542|SAU000AHB000|Sha Te A La Bo |SAU||000|Ai Bu Ha |AHB||
36543|USA0IDIDG000|Mei Guo |USA|Ai Da He |0ID|Ai Da Ge Luo Fu |IDG||
36544|USA0AKADK000|Mei Guo |USA|A La Si Jia |0AK|Ai Da Ke |ADK||
36545|TUR000AYI000|Tu Er Qi |TUR||000|Ai Deng |AYI||
36546|USA0MIIMT000|Mei Guo |USA|Mi Xie Gen |0MI|Ai En Meng Ting |IMT||
36547|USA0MIIWD000|Mei Guo |USA|Mi Xie Gen |0MI|Ai En Wu De |IWD||
36548|USA0NYELM000|Mei Guo |USA|Niu Yue |0NY|Ai Er Mai La |ELM||
36549|TUN0000AR000|Tu Ni Si |TUN||000|Ai Er Ya Nai |0AR||
36550|ASM000AIT000|Mei Shu Sa Mo Ya |ASM||000|Ai Jia Yi Le Tai |AIT||
36551|FRA000QXB000|Fa Guo |FRA||000|Ai Ke Si |QXB||
36552|USA0SCAIK000|Mei Guo |USA|Nan Ka Luo Lai Na |0SC|Ai Ken |AIK||
36553|USA000IRB000|Mei Guo |USA||000|Ai Lan |IRB||
