id,language,name
305,zh_cn,荷属安的列斯
306,en_us,Angola
306,zh_cn,安哥拉
307,en_us,Antarctica
307,zh_cn,南极洲
308,en_us,Argentina
308,zh_cn,南极洲
309,en_us,American Samoa
309,zh_cn,美属萨摩亚
310,en_us,Austria
310,zh_cn,奥地利
311,en_us,Aruba
311,zh_cn,阿鲁巴
312,en_us,Azerbaijan
312,zh_cn,阿塞拜疆
313,en_us,Bosnia & Herzegovina
313,zh_cn,波黑
314,en_us,Barbados
314,zh_cn,巴巴多斯
315,en_us,Bangladesh
315,zh_cn,孟加拉国
316,en_us,Belgium
316,zh_cn,比利时
317,en_us,Burkina
317,zh_cn,布基纳法索
318,en_us,Bulgaria
318,zh_cn,保加利亚
319,en_us,Bahrain
319,zh_cn,巴林
320,en_us,Burundi
320,zh_cn,布隆迪
321,en_us,Benin
321,zh_cn,贝宁
322,en_us,Bermuda
322,zh_cn,百慕大
323,en_us,Brunei
323,zh_cn,文莱
324,en_us,Bolivia
324,zh_cn,玻利维亚
325,en_us,Brazil
325,zh_cn,巴西
326,en_us,The Bahamas
326,zh_cn,巴哈马
327,en_us,Bhutan
327,zh_cn,不丹
328,en_us,Bouvet Island
328,zh_cn,布维岛
329,en_us,Botswana
329,zh_cn,博茨瓦纳
330,en_us,Belarus
330,zh_cn,白俄罗斯
331,en_us,Belize
331,zh_cn,伯利兹
332,en_us,Cocos Archipelago
332,zh_cn,科科斯（基林）群岛
333,en_us,Democratic Republic of the Congo
333,zh_cn,刚果（金）
334,en_us,Central African Republic
334,zh_cn,中非
335,en_us,Republic of the Congo
335,zh_cn,刚果（布）
336,en_us,Switzerland
336,zh_cn,瑞士
337,en_us,C?te d’ivoire
337,zh_cn,科特迪瓦
338,en_us,Cook Islands
338,zh_cn,库克群岛
339,en_us,Chile
339,zh_cn,智利
340,en_us,Cameroon
340,zh_cn,喀麦隆
341,en_us,Colombia
341,zh_cn,哥伦比亚
342,en_us,Costa Rica
342,zh_cn,哥斯达黎加
343,en_us,Serbia
343,zh_cn,塞尔维亚
344,en_us,Cuba
344,zh_cn,古巴
345,en_us,Cape Verde
345,zh_cn,佛得角
346,en_us,Christmas Island
346,zh_cn,圣诞岛
347,en_us,Cyprus
347,zh_cn,塞浦路斯
348,en_us,Czech Republic
348,zh_cn,捷克
349,en_us,Djibouti
349,zh_cn,吉布提
350,en_us,Denmark
350,zh_cn,丹麦
351,en_us,Dominica
351,zh_cn,多米尼克
352,en_us,Dominican Republic
352,zh_cn,多米尼加
353,en_us,Algeria
353,zh_cn,阿尔及利亚
354,en_us,Ecuado
354,zh_cn,厄瓜多尔
355,en_us,Estonia
355,zh_cn,爱沙尼亚
356,en_us,Egypt
356,zh_cn,埃及
357,en_us,Western Sahara
357,zh_cn,西撒哈拉
358,en_us,Eritrea
358,zh_cn,厄立特里亚
359,en_us,Spain
359,zh_cn,西班牙
360,en_us,Ethiopia
360,zh_cn,埃塞俄比亚
361,en_us,Finland
361,zh_cn,芬兰
362,en_us,Fiji
362,zh_cn,斐济
363,en_us,Falkland Islands (Falkland)
363,zh_cn,福克兰群岛（马尔维纳斯）
364,en_us,Federated States of Micronesia
364,zh_cn,密克罗尼西亚
365,en_us,Faroe Islands
365,zh_cn,法罗群岛
366,en_us,Gabon
366,zh_cn,加蓬
367,en_us,Grenada
367,zh_cn,格林纳达
368,en_us,Georgia
368,zh_cn,格鲁吉亚
369,en_us,French Guiana
369,zh_cn,法属圭亚那
370,en_us,Ghana
370,zh_cn,加纳
371,en_us,Gibraltar
371,zh_cn,直布罗陀
372,en_us,Gambia
372,zh_cn,冈比亚
373,en_us,Guinea
373,zh_cn,几内亚
374,en_us,Guadeloupe
374,zh_cn,瓜德罗普
375,en_us,Equatorial Guinea
375,zh_cn,赤道几内亚
376,en_us,Greece
376,zh_cn,希腊
377,en_us,South Georgia and the South Sandwich Islands
377,zh_cn,南乔治亚岛 和 南桑德韦奇岛
378,en_us,Guatemala
378,zh_cn,危地马拉
379,en_us,Guam
379,zh_cn,关岛
380,en_us,Guinea-Bissau
380,zh_cn,几内亚比绍
381,en_us,Guyana
381,zh_cn,圭亚那
382,en_us,Hird island and Macdonald Island
382,zh_cn,赫德岛和麦克唐纳岛
383,en_us,Honduras
383,zh_cn,洪都拉斯
384,en_us,Croatia
384,zh_cn,克罗地亚
385,en_us,Haiti
385,zh_cn,海地
386,en_us,Hungary
386,zh_cn,匈牙利
387,en_us,Indonesia
387,zh_cn,印度尼西亚
388,en_us,Ireland
388,zh_cn,爱尔兰
389,en_us,Israel
389,zh_cn,以色列
390,en_us,British Indian Ocean Territory
390,zh_cn,英属印度洋领地
391,en_us,Iraq
391,zh_cn,伊拉克
392,en_us,Iran
392,zh_cn,伊朗
393,en_us,Iceland
393,zh_cn,冰岛
394,en_us,Jamaica
394,zh_cn,牙买加
395,en_us,Jordan
395,zh_cn,约旦
396,en_us,Kenya
396,zh_cn,肯尼亚
397,en_us,Kyrgyzstan
397,zh_cn,吉尔吉斯斯坦
398,en_us,Cambodia
398,zh_cn,柬埔寨
399,en_us,Kiribati
399,zh_cn,基里巴斯
400,en_us,The Comoros
400,zh_cn,科摩罗
401,en_us,St. Kitts & Nevis
401,zh_cn,圣基茨和尼维斯
402,en_us,North Korea
402,zh_cn,朝鲜
403,en_us,Kuwait
403,zh_cn,科威特
404,en_us,Cayman Islands
404,zh_cn,开曼群岛
405,en_us,Kazakhstan
405,zh_cn,哈萨克斯坦
406,en_us,Laos
406,zh_cn,老挝
407,en_us,Lebanon
407,zh_cn,黎巴嫩
408,en_us,St. Lucia
408,zh_cn,圣卢西亚
409,en_us,Liechtenstein
409,zh_cn,列支敦士登
410,en_us,Sri Lanka
410,zh_cn,斯里兰卡
411,en_us,Liberia
411,zh_cn,利比里亚
412,en_us,Lesotho
412,zh_cn,莱索托
413,en_us,Lithuania
413,zh_cn,立陶宛
414,en_us,Luxembourg
414,zh_cn,卢森堡
415,en_us,Latvia
415,zh_cn,拉脱维亚
416,en_us,Libya
416,zh_cn,利比亚
417,en_us,Morocco
417,zh_cn,摩洛哥
418,en_us,Monaco
418,zh_cn,摩纳哥
419,en_us,Moldova
419,zh_cn,摩尔多瓦
420,en_us,Madagascar
420,zh_cn,马达加斯加
421,en_us,Marshall islands
421,zh_cn,马绍尔群岛
422,en_us,Former South Macedon
422,zh_cn,前南马其顿
423,en_us,Mali
423,zh_cn,马里
424,en_us,Myanmar (Burma)
424,zh_cn,缅甸
425,en_us,Mongolia
425,zh_cn,蒙古
426,en_us,North Mariana
426,zh_cn,北马里亚纳
427,en_us,Martinique
427,zh_cn,马提尼克
428,en_us,Mauritania
428,zh_cn,毛里塔尼亚
429,en_us,Montserrat
429,zh_cn,蒙特塞拉特
430,en_us,Malta
430,zh_cn,马耳他
431,en_us,Mauritius
431,zh_cn,毛里求斯
432,en_us,Maldives
432,zh_cn,马尔代夫
433,en_us,Malawi
433,zh_cn,马拉维
434,en_us,Mexico
434,zh_cn,墨西哥
435,en_us,Malaysia
435,zh_cn,马来西亚
436,en_us,Mozambique
436,zh_cn,莫桑比克
437,en_us,Namibia
437,zh_cn,纳米尼亚
438,en_us,New Caledonia
438,zh_cn,新喀里多尼亚
439,en_us,Niger
439,zh_cn,尼日尔
440,en_us,Norfolk Island
440,zh_cn,诺福克岛
441,en_us,Nigeria
441,zh_cn,尼日利亚
442,en_us,Nicaragua
442,zh_cn,尼加拉瓜
443,en_us,Netherlands
443,zh_cn,荷兰
444,en_us,Norway
444,zh_cn,挪威
445,en_us,Nepal
445,zh_cn,尼泊尔
446,en_us,Nauru
446,zh_cn,瑙鲁
447,en_us,Niue
447,zh_cn,纽埃
448,en_us,New Zealand
448,zh_cn,新西兰
449,en_us,Oman
449,zh_cn,阿曼
450,en_us,Panama
450,zh_cn,巴拿马
451,en_us,Peru
451,zh_cn,秘鲁
452,en_us,French polynesia
452,zh_cn,法属波利尼西亚
453,en_us,Papua New Guinea
453,zh_cn,巴布亚新几内亚
454,en_us,The Philippines
454,zh_cn,菲律宾
455,en_us,Pakistan
455,zh_cn,巴基斯坦
456,en_us,Poland
456,zh_cn,波兰
457,en_us,Saint-Pierre and Miquelon
457,zh_cn,圣皮埃尔和密克隆
458,en_us,Pitcairn Islands
458,zh_cn,皮特凯恩
459,en_us,Puerto Rico
459,zh_cn,波多黎各
460,en_us,Palestinian territories
460,zh_cn,巴勒斯坦
461,en_us,Portugal
461,zh_cn,葡萄牙
462,en_us,Palau
462,zh_cn,帕劳
463,en_us,Paraguay
463,zh_cn,巴拉圭
464,en_us,Qatar
464,zh_cn,卡塔尔
465,en_us,R¨|unio
465,zh_cn,留尼汪
466,en_us,Romania
466,zh_cn,罗马尼亚
467,en_us,Russian Federation
467,zh_cn,俄罗斯
468,en_us,Rwanda
468,zh_cn,卢旺达
469,en_us,Saudi Arabia
469,zh_cn,沙特阿拉伯
470,en_us,Solomon Islands
470,zh_cn,所罗门群岛
471,en_us,Seychelles
471,zh_cn,塞舌尔
472,en_us,Sudan
472,zh_cn,苏丹
473,en_us,Sweden
473,zh_cn,瑞典
474,en_us,St. Helena & Dependencies
474,zh_cn,圣赫勒拿
475,en_us,Slovenia
475,zh_cn,斯洛文尼亚
476,en_us,The island of svalba and Jan Mayen
476,zh_cn,斯瓦尔巴岛和扬马延岛
477,en_us,Slovakia
477,zh_cn,斯洛伐克
478,en_us,Sierra Leone
478,zh_cn,塞拉利昂
479,en_us,San Marino
479,zh_cn,圣马力诺
480,en_us,Senegal
480,zh_cn,塞内加尔
481,en_us,Somalia
481,zh_cn,索马里
482,en_us,Suriname
482,zh_cn,苏里南
483,en_us,Sao Tome & Principe
483,zh_cn,圣多美和普林西比
484,en_us,El Salvador
484,zh_cn,萨尔瓦多
485,en_us,Syria
485,zh_cn,叙利亚
486,en_us,Swaziland
486,zh_cn,斯威士兰
487,en_us,Turks & Caicos Islands
487,zh_cn,特克斯和凯科斯群岛
488,en_us,Chad
488,zh_cn,乍得
489,en_us,Southern French territory
489,zh_cn,法属南部领土
490,en_us,Togo
490,zh_cn,多哥
491,en_us,Thailand
491,zh_cn,泰国
492,en_us,Tajikistan
492,zh_cn,塔吉克斯坦
493,en_us,Tokelau
493,zh_cn,托克劳
494,en_us,Turkmenistan
494,zh_cn,土库曼斯坦
495,en_us,Tunisia
495,zh_cn,突尼斯
496,en_us,Tonga
496,zh_cn,汤加
497,en_us,Timor-Leste (East Timor)
497,zh_cn,东帝汶
498,en_us,Turkey
498,zh_cn,土耳其
499,en_us,Trinidad & Tobago
499,zh_cn,特立尼达和多巴哥
500,en_us,Tuvalu
500,zh_cn,图瓦卢
501,en_us,Tanzania
501,zh_cn,坦桑尼亚
502,en_us,Ukraine
502,zh_cn,乌克兰
503,en_us,Uganda
503,zh_cn,乌干达
504,en_us,United States Minor Outlying Islands
504,zh_cn,美国本土外小岛屿
505,en_us,Uruguay
505,zh_cn,乌拉圭
506,en_us,Uzbekistan
506,zh_cn,乌兹别克斯坦
507,en_us,Vatican City (The Holy See)
507,zh_cn,梵蒂冈
508,en_us,St. Vincent & the Grenadines
508,zh_cn,圣文森特和格林纳丁斯
509,en_us,Venezuela
509,zh_cn,委内瑞拉
510,en_us,British Virgin Islands
510,zh_cn,英属维尔京群岛
511,en_us,United States Virgin Islands
511,zh_cn,美属维尔京群岛
512,en_us,Vietnam
512,zh_cn,越南
513,en_us,Vanuatu
513,zh_cn,瓦努阿图
514,en_us,Wallis and Futuna
514,zh_cn,瓦利斯和富图纳
515,en_us,Samoa
515,zh_cn,萨摩亚
516,en_us,Yemen
516,zh_cn,也门
517,en_us,Mayotte
517,zh_cn,马约特
518,en_us,Yugoslavia
518,zh_cn,南斯拉夫
519,en_us,South Africa
519,zh_cn,南非
520,en_us,Zambia
520,zh_cn,赞比亚
521,en_us,Zimbabwe
521,zh_cn,津巴布韦
522,en_us,operating unit
522,zh_cn,业务实体
523,en_us,merged company
523,zh_cn,合并公司
524,en_us,adjust company
524,zh_cn,调整公司
743,en_us,Paid By Company
743,zh_cn,对公报销
744,en_us,Employee Reimbursement
744,zh_cn,员工报销
745,en_us,Prepaid
745,zh_cn,预付款单
746,en_us,Loan
746,zh_cn,借款单
747,en_us,Receipt
747,zh_cn,付款单
748,en_us,Payment Platform
748,zh_cn,支付平台
749,en_us,Invoice
749,zh_cn,收款单
750,en_us,Reimbursement
750,zh_cn,费用报销
751,en_us,Input Tax Amount
751,zh_cn,进项税额
752,en_us,Input Tax Deduction
752,zh_cn,进项税待抵扣
753,en_us,Cash Transaction Settlement
753,zh_cn,现金事务清算
754,en_us,Collecting Cost
754,zh_cn,费用往来应收
755,en_us,Paying Cost
755,zh_cn,费用往来应付
756,en_us,Expense Allocation
756,zh_cn,费用摊销
757,en_us,Bank Settlement
757,zh_cn,银行清算
758,en_us,Collecting Settlement
758,zh_cn,清算往来应收
759,en_us,Paying Settlement
759,zh_cn,清算往来应付
760,en_us,Foreign Currency Conversion
760,zh_cn,外币折算
761,en_us,Receipt Settlement
761,zh_cn,收款清算
762,en_us,Interface Data
762,zh_cn,取自接口数据
763,en_us,Group Fields Matching Tranform
763,zh_cn,通过匹配组字段转化
764,en_us,Rules Tranform
764,zh_cn,通过规则转化
765,en_us,From API
765,zh_cn,取自API
766,en_us,Fixed Value
766,zh_cn,固定值
767,en_us,Greater Than
767,zh_cn,大于
768,en_us,Smaller Than
768,zh_cn,小于
769,en_us,Equal To
769,zh_cn,等于
770,en_us,Not Equal To
770,zh_cn,不等于
771,en_us,Greater Than Or Equal To
771,zh_cn,大于等于
772,en_us,Smaller Than Or Equal To
772,zh_cn,小于等于
773,en_us,LIKE
773,zh_cn,LIKE
774,en_us,Sum
774,zh_cn,和运算
775,en_us,Absolute Value of Diffecence
775,zh_cn,差额绝对值
776,en_us,Difference
776,zh_cn,差额
777,en_us,Multiplication
777,zh_cn,乘运算
778,en_us,Division
778,zh_cn,除运算
779,en_us,Greater Than
779,zh_cn,大于
780,en_us,Smaller Than
780,zh_cn,小于
781,en_us,Equal To
781,zh_cn,等于
782,en_us,Not Equal To
782,zh_cn,不等于
783,en_us,Greater Than Or Equal To
783,zh_cn,大于等于
784,en_us,Smaller Than Or Equal To
784,zh_cn,小于等于
785,en_us,LIKE
785,zh_cn,LIKE
786,en_us,Fixed Value
786,zh_cn,固定值
787,en_us,Accounting Element Value
787,zh_cn,通过核算要素取值
788,en_us,Scene Account Mapping - ID
788,zh_cn,场景科目映射取科目ID
789,en_us,Scene Account Mapping - CODE
789,zh_cn,场景科目映射取科目CODE
790,en_us,Primary Key Conversion
790,zh_cn,通过核算要素根据主键转换
793,en_us,Food & Catering Supplier
793,zh_cn,饮食起居类供应商
794,en_us,Building Supplier
794,zh_cn,营造类供应商
795,en_us,Finance Supplier
795,zh_cn,财会类供应商
796,en_us,Human Resource Supplier
796,zh_cn,人事类供应商
797,en_us,Technology Supplier
797,zh_cn,科技类供应商
798,en_us,Logistics Supplier
798,zh_cn,物流运输类供应商
799,en_us,Media Supplier
799,zh_cn,媒体类供应商
800,en_us,Operation Supplier
800,zh_cn,运营类供应商
801,en_us,Security Supplier
801,zh_cn,安防类供应商
802,en_us,Stationery & Office Supplies Supplier
802,zh_cn,文具及办公用品类供应商
803,en_us,Non-corporate Legal Person
803,zh_cn,非企业法人
804,en_us,A-level Supplier
804,zh_cn,A级供应商
805,en_us,B-level Supplier
805,zh_cn,B级供应商
806,en_us,C-level Supplier
806,zh_cn,C级供应商
807,en_us,D-level Supplier
807,zh_cn,D级供应商
808,en_us,Emergency Supplier
808,zh_cn,紧急供应商
809,en_us,Non-Supplier
809,zh_cn,非供应商
816,en_us,USER
816,zh_cn,用户
817,en_us,DEPARTMENT
817,zh_cn,部门
818,en_us,COSTCENTER
818,zh_cn,成本中心
819,en_us,EXPENSE_TYPE
819,zh_cn,费用类型
820,en_us,FORM
820,zh_cn,自定义表单
821,en_us,SET_OF_BOOKS
821,zh_cn,账套
822,en_us,COMPANY
822,zh_cn,公司
823,en_us,COMPANY_SECURITY
823,zh_cn,安全设置
824,en_us,AUTHORITY
824,zh_cn,权限
825,en_us,BANK
825,zh_cn,银行
826,en_us,CUSTOM_ENUMERATION
826,zh_cn,安全值列表
827,en_us,CURRENCY
827,zh_cn,币种
828,en_us,Unknown
828,zh_cn,未知
3347,zh_cn,增值税普通发票(通行费)
3347,en_us,Toll VAT Fapiao
100001,zh_cn,对公报账单
100002,zh_cn,预算日记账
100003,zh_cn,预付款单
100004,zh_cn,合同
100005,zh_cn,付款申请单
100006,zh_cn,费用调整单
100007,zh_cn,核算工单
100008,zh_cn,费用申请单
100001,en_us,Bulletin bills
100002,en_us,Budget Journal
100003,en_us,Advance payment form
100004,en_us,Contract
100005,en_us,Payment Application Form
100006,en_us,Cost adjustment sheet
100007,en_us,Accounting work order
100008,en_us,Fee application form
